group,location,age,length,height,width
cat,A,10,10.74594399,19.38747597,22.3227169
cat,A,8,2.840184038,20.68478467,20.56092891
cat,B,1,2.992697146,6.914094181,2.397788498
cat,B,6,15.27848535,15.32126138,3.707955462
cat,C,9,24.17377318,22.67991035,17.70552573
cat,C,8,2.62766377,21.44451387,24.22853996
cat,E,8,13.51169485,2.997723979,3.760462762
fish,A,10,10.4385481,4.657359373,24.612602
fish,A,3,5.440372226,24.12007547,1.409930062
fish,B,9,10.85921869,14.87888298,7.556905552
fish,D,2,10.99406798,18.95890565,0.209300207
fish,D,7,3.164181612,0.352881326,4.41446745
fish,E,10,14.67530825,6.116709199,19.25557569
fish,E,2,18.86941153,21.20625195,10.20751268
fish,E,8,20.15912376,14.81361621,23.96623517
